timestamp_utc,experiment,policy,total_timesteps,mean_reward,mean_episode_length,learning_rate,gamma,batch_size,exploration_fraction,exploration_final_eps,buffer_size,learning_starts,train_freq,target_update_interval
2026-03-17T11:09:06Z,1,CnnPolicy,1000000,-8.399999618530273,1020.8,0.0001,0.99,32,0.1,0.05,100000,10000,4,1000
2026-03-17T15:02:06Z,2,CnnPolicy,1000000,-21.0,184.2,0.0005,0.99,32,0.1,0.05,100000,10000,4,1000
2026-03-17T18:32:17Z,3,CnnPolicy,1000000,-20.600000381469727,236.6,1e-05,0.99,32,0.1,0.05,100000,10000,4,1000
2026-03-17T21:14:55Z,4,CnnPolicy,1000000,-16.600000381469727,593.2,0.0001,0.999,32,0.1,0.05,100000,10000,4,1000
2026-03-20T16:52:07Z,5,CnnPolicy,1000000,-4.199999809265137,1304.6,0.0001,0.99,128,0.1,0.05,100000,10000,4,1000
2026-03-20T18:25:12Z,6,CnnPolicy,1000000,-16.0,868.8,0.0001,0.99,32,0.1,0.1,100000,10000,4,1000
2026-03-20T19:58:38Z,7,CnnPolicy,1000000,-11.600000381469727,657.0,0.0001,0.99,32,0.05,0.05,100000,10000,4,1000
2026-03-20T21:30:17Z,8,CnnPolicy,1000000,-9.199999809265137,1107.8,0.0001,0.99,32,0.5,0.05,100000,10000,4,1000
2026-03-20T23:10:23Z,9,CnnPolicy,1000000,-2.5999999046325684,1281.6,0.0005,0.95,64,0.1,0.05,100000,10000,4,1000
2026-03-21T00:39:16Z,10,CnnPolicy,1000000,-10.0,692.0,0.0001,0.99,32,0.2,0.02,100000,10000,4,1000
2026-03-21T15:07:43Z,1,CnnPolicy,1000000,-9.600000381469727,909.8,0.0001,0.99,32,0.1,0.05,100000,10000,4,1000
2026-03-21T16:34:05Z,1,MlpPolicy,1000000,-21.0,199.2,0.0001,0.99,32,0.1,0.05,100000,10000,4,1000
